Order Number,Item,Pinyin,Frequency,Definition,Usage,Part_of_Speech,Status
144,黑,hei1,91,The color black; dark or without light.,"Used to describe colors (黑色 - black color), darkness (天黑了 - it's getting dark), or as part of compound words",adjective,success
145,真,zhen1,90,"Real, true, or genuine; also used as an adverb meaning 'really' or 'truly' to emphasize a statement.",Common in expressions like 真好 (really good) or 真的 (really/truly),adjective/adverb,success
146,邓,deng4,89,"A common Chinese surname, most famously associated with Deng Xiaoping, the former leader of China.",Primarily used as a family name in names like 邓小平 (Deng Xiaoping),proper noun,success
147,课,ke4,88,"A class, lesson, or course of study. Also used as a measure word for counting lessons or class periods.","Common in school contexts like 上课 (attend class), 汉语课 (Chinese class), or 第一课 (Lesson 1)",noun,success
148,打,da3,87,"To hit, strike, or beat; also a versatile verb used in many common expressions meaning 'to do' or 'to make' (like打电话 make a phone call, 打球 play ball).",Extremely common in daily expressions and verb-object compounds,verb,success
149,授,shou4,87,"To give, grant, or confer something (such as knowledge, authority, or a title) to someone; to teach or instruct.","Commonly seen in words like 教授 (professor), 授课 (to teach a class), and 授权 (to authorize)",verb,success
150,问,wen4,87,To ask or inquire; to pose a question to someone.,"Common in phrases like 问题 (question/problem) and 请问 (excuse me, may I ask)",verb,success
151,正,zheng4,86,"Means 'correct', 'straight', or 'exactly/just' (in the process of doing something). Also indicates something is upright, proper, or precisely at a certain time or state.","Common in phrases like 正在 (zhengzai, in the process of), 正好 (zhenghao, just right), and 正确 (zhengque, correct)",adjective/adverb,success
152,让,rang4,86,"To let, allow, or permit someone to do something; also means to yield or give way to someone.",Commonly used in causative constructions like 让我看看 (let me see) or to express yielding as in 让座 (give up one's seat),verb,success
153,海,hai3,85,"Sea or ocean; a large body of salt water. Can also refer to something vast or numerous, like a sea of people.","Common in words like 上海 (Shanghai), 海洋 (ocean), 大海 (the sea)",noun,success
154,吃,chi1,84,To eat or consume food. Can also mean to have a meal or to live off something.,"Used in everyday contexts like 吃饭 (eat rice/have a meal), 吃早饭 (eat breakfast)",verb,success
155,心,xin1,84,"Heart, both as the physical organ and as the center of emotions, thoughts, and intentions. Also means mind, feeling, or core/center of something.","Common in words like 小心 (be careful), 心情 (mood), 关心 (care about), and 中心 (center)",noun,success
156,杖,zhang4,84,"A walking stick, cane, or staff used for support while walking or as a symbol of authority.",Commonly seen in words like 拐杖 (crutch/walking stick) and 手杖 (cane),noun,success
157,种,zhong3,84,"A measure word for types, kinds, or varieties of things; also means 'kind' or 'type' as a noun.","Used in phrases like 这种 (this kind), 各种 (various kinds), 一种方法 (one type of method)",measure word/noun,success
158,经,jing1,84,"To pass through, to experience, or to undergo something. Also used as a component in words related to classics, scriptures, or regular/constant things.","Common in words like 经过 (to pass through), 经验 (experience), 已经 (already), and 经常 (often)",verb/noun,success
159,色,se4,84,"Color or hue; can also refer to appearance, look, or expression on someone's face.","Common in words like 颜色 (color), 红色 (red), 脸色 (facial expression/complexion)",noun,success
160,星,xing1,83,"Star, referring to celestial bodies in the sky or used in compound words related to stars and planets.","Common in words like 星期 (week), 明星 (celebrity/star), 火星 (Mars), and 星星 (stars)",noun,success
161,马,ma3,83,Horse; a common domesticated animal used for riding and transportation.,"Used in compound words like 马上 (immediately, literally 'on horseback') and as a surname",noun,success
162,才,cai2,81,Adverb indicating that something happened later than expected or only just now; also means 'only' to emphasize a small amount or degree.,Common in phrases like 我才到 (I just arrived) or 才三岁 (only three years old),adverb,success
163,觉,jue2,81,To feel or sense something; to become aware of a sensation or perception. Also means sleep when pronounced 'jiao4'.,"Common in words like 感觉 (gǎnjué - feeling), 觉得 (juéde - to think/feel), and 睡觉 (shuìjiào - to sleep)",verb,success
164,先,xian1,79,"First, before, or earlier in time or sequence; indicates doing something ahead of other actions or people.",Commonly used in phrases like 先生 (Mr./teacher) and 先...再... (first...then...),adverb,success
165,光,guang1,79,"Light or brightness; can also mean smooth, bare, or used up/empty when describing surfaces or quantities.","Common in words like 阳光 (sunlight), 光滑 (smooth), and 光盘 (empty plate/CD)",noun/adjective,success
166,更,geng4,79,Even more; still more. Used to indicate a higher degree or level when comparing things.,"Commonly used in comparisons like 更好 (even better), 更快 (even faster)",adverb,success
167,进,jin4,79,"To enter, go into, or move forward into a space or location. Also means to advance or make progress.","Common in words like 进来 (come in), 进去 (go in), and 进步 (progress)",verb,success
168,再,zai4,78,"Again, once more; indicates repetition of an action or additional occurrence. Also means 'then' or 'only then' when referring to future actions in sequence.","Used before verbs like 再见 (goodbye, literally 'see again') or 再说 (talk about it later)",adverb,success
169,校,xiao4,78,School; an educational institution where students learn. Also used as a short form for various types of schools and military ranks.,"Most commonly seen in words like 学校 (xuéxiào - school), 校长 (xiàozhǎng - principal), and 校园 (xiàoyuán - campus)",noun,success
170,师,shi1,77,"Teacher, master, or expert in a particular field; also refers to a skilled professional or mentor.","Common in words like 老师 (teacher), 师傅 (master/skilled worker), and 医师 (doctor)",noun,success
171,高,gao1,77,"Tall or high; describes physical height of objects, people, or elevation. Can also mean advanced level or superior quality.","Common in phrases like 很高 (very tall), 高兴 (happy), 高中 (high school)",adjective,success
172,常,chang2,76,"Often, frequently, or regularly; also means ordinary or normal. Used to describe actions that happen repeatedly or states that are usual.","Common in words like 经常 (jīngcháng - often), 常常 (chángcháng - frequently), and 正常 (zhèngcháng - normal)",adverb/adjective,success
173,怪,guai4,76,"Strange, odd, or weird; can also mean to blame someone or a monster/supernatural creature when used as a noun.","Common in expressions like 奇怪 (strange), 怪不得 (no wonder), or 怪物 (monster)",adjective/verb/noun,success
174,次,ci4,76,A measure word for counting the number of times an action occurs or events happen.,"Used in phrases like 一次 (one time), 两次 (twice), 下次 (next time)",measure word,success
175,已,yi3,75,"Indicates completion or that something has already happened or been done, meaning 'already' or 'to have finished'.",Commonly seen in words like 已经 (already) and at the end of sentences to mark completion,adverb,success
176,条,tiao2,75,"A measure word (classifier) used for long, narrow, flexible objects like rivers, roads, fish, pants, or items that can be listed (like rules or messages). Also means 'strip' or 'item' as a noun.","Common in phrases like 一条河 (a river), 一条鱼 (a fish), 一条裤子 (a pair of pants), 三条规则 (three rules)",measure word / noun,success
177,紧,jin3,75,"Tight, tense, or close-fitting; also means urgent or pressing when describing situations or time.","Common in phrases like 紧张 (nervous/tense), 要紧 (important/urgent), and 时间很紧 (time is tight)",adjective,success
178,乎,hu1,74,"Classical Chinese particle used to indicate a question, exclamation, or to mark the end of a statement. In modern Chinese, it appears mainly in literary expressions and set phrases.","Common in phrases like 似乎 (it seems), 几乎 (almost), and classical-style questions",particle,success
179,情,qing2,74,"Emotion, feeling, or sentiment; also refers to affection, love, or human relationships. Commonly appears in compound words related to emotional states and interpersonal connections.","Found in words like 感情 (feelings), 爱情 (romantic love), 心情 (mood), 友情 (friendship)",noun,success
