Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
127,dong4,动,106,To move or to act; indicates physical movement or taking action.,"Common in words like 运动 (yùndòng - sports/exercise), 动作 (dòngzuò - movement/action), and 感动 (gǎndòng - to move emotionally)",verb,热,片,动,吻,存,C
128,dian3,点,105,"A point, dot, or spot; also used as a measure word for time (o'clock) and to mean 'a little bit'","Common in expressions like 三点 (3 o'clock), 一点 (a little), and 点菜 (order food)",noun/measure word,点,吸,帘,拳,究,A
129,gao4,告,104,"To tell, inform, or notify someone about something; also means to accuse or report (to authorities).","Common in words like 告诉 (gàosu - to tell), 报告 (bàogào - report), and 广告 (guǎnggào - advertisement)",verb,悲,脖,翅,告,士,D
130,san1,三,103,The number three. It is one of the most basic and frequently used numbers in Mandarin Chinese.,"Used in counting, dates, times, and quantities like 三个人 (three people) or 星期三 (Wednesday)",number,价,象,伤,拄,三,E
131,de2,德,103,"Virtue, morality, or moral character; also refers to kindness and good conduct. Commonly used in formal contexts and appears in many compound words related to ethics and behavior.","Found in words like 道德 (morality), 品德 (moral character), and country names like 德国 (Germany)",noun,章,墨,擤,际,德,E
132,shi4,室,101,Room or chamber; a formal term for an enclosed space within a building.,"Commonly used in compound words like 教室 (classroom), 办公室 (office), 卧室 (bedroom)",noun,室,检,冷,凤,暴,A
133,lai2,莱,100,A type of wild vegetable or herb; commonly used as a phonetic component in transliterations of foreign names and places.,"Most frequently seen in words like 莱茵河 (Rhine River) and 蓬莱 (Penglai, a mythical place)",noun,咔,绪,莱,亮,滴,C
134,xi1,西,100,West; the direction where the sun sets. Also used to refer to Western countries or things from the West.,"Common in directional words like 西边 (west side), 东西 (east-west/things), and 西方 (the West/Western countries)",noun,圆,西,甩,锁,令,B
135,zhan4,站,99,"To stand (in an upright position); a station or stop (for buses, trains, etc.)","As a verb: 站起来 (stand up). As a noun: 车站 (bus/train station), 地铁站 (subway station)",verb/noun,囊,抖,站,笨,彩,C
136,xin4,信,98,"Letter (mail); to trust or believe. As a noun, it refers to written correspondence, and as a verb, it means to have faith or confidence in something or someone.","Common in words like 信件 (letter/mail), 相信 (to believe), and 自信 (confidence)",noun/verb,胁,批,总,信,柱,D
137,di4,第,94,"Prefix used before numbers to form ordinal numbers, similar to '-th' in English (first, second, third, etc.)","Used in phrases like 第一 (first), 第二 (second), 第三 (third)",prefix,第,睡,炮,灯,蔑,A
138,su4,诉,94,"To tell, inform, or complain about something; to accuse or bring a lawsuit against someone.","Commonly seen in words like 告诉 (gàosu - to tell), 诉说 (sùshuō - to recount), and 起诉 (qǐsù - to sue)",verb,血,诉,贺,绷,类,B
139,zhong1,中,93,"Middle or center; also means 'in' or 'among' when indicating location or state. One of the most fundamental characters in Chinese, appearing in words like China (中国, literally 'Middle Kingdom').","Used in 中国 (China), 中间 (middle), 中文 (Chinese language), 其中 (among them)",noun/preposition,厅,跪,中,违,藏,C
140,xie1,些,93,"A measure word meaning 'some' or 'a few', used to indicate an indefinite small quantity of something.","Commonly appears after 这 (zhè) or 那 (nà) as in 这些 (these) and 那些 (those), or after verbs to mean 'a little bit'",measure word,卡,闭,些,雨,九,C
141,tai4,太,91,"Too, excessively, or overly; used to indicate that something exceeds a normal or acceptable degree.","Commonly placed before adjectives or verbs, as in 太好了 (too good/great!) or 太贵 (too expensive)",adverb,召,太,鹿,且,治,B
142,nian2,年,91,Year; a period of 12 months or 365 days. Also refers to age or a specific year in time.,"Common in expressions like 今年 (this year), 去年 (last year), 明年 (next year), and 三年 (three years)",noun,年,母,姬,占,佑,A
143,te4,特,91,"Special, particular, or exceptional; indicates something that stands out from the ordinary or has distinctive characteristics.",Commonly used in words like 特别 (especially/special) and 特点 (characteristic/feature),adjective,摄,悠,夹,兢,特,E
144,hei1,黑,91,The color black; dark or without light.,"Used to describe colors (黑色 - black color), darkness (天黑了 - it's getting dark), or as part of compound words",adjective,护,库,刹,擤,黑,E
145,zhen1,真,90,"Real, true, or genuine; also used as an adverb meaning 'really' or 'truly' to emphasize a statement.",Common in expressions like 真好 (really good) or 真的 (really/truly),adjective/adverb,真,漏,秘,卖,据,A
146,deng4,邓,89,"A common Chinese surname, most famously associated with Deng Xiaoping, the former leader of China.",Primarily used as a family name in names like 邓小平 (Deng Xiaoping),proper noun,暑,爸,粪,嘲,邓,E
147,ke4,课,88,"A class, lesson, or course of study. Also used as a measure word for counting lessons or class periods.","Common in school contexts like 上课 (attend class), 汉语课 (Chinese class), or 第一课 (Lesson 1)",noun,蝇,祥,课,埃,摆,C
148,da3,打,87,"To hit, strike, or beat; also a versatile verb used in many common expressions meaning 'to do' or 'to make' (like打电话 make a phone call, 打球 play ball).",Extremely common in daily expressions and verb-object compounds,verb,螺,打,遮,妨,念,B
149,shou4,授,87,"To give, grant, or confer something (such as knowledge, authority, or a title) to someone; to teach or instruct.","Commonly seen in words like 教授 (professor), 授课 (to teach a class), and 授权 (to authorize)",verb,授,迹,勇,互,庆,A
150,wen4,问,87,To ask or inquire; to pose a question to someone.,"Common in phrases like 问题 (question/problem) and 请问 (excuse me, may I ask)",verb,问,凛,怖,皱,专,A
151,zheng4,正,86,"Means 'correct', 'straight', or 'exactly/just' (in the process of doing something). Also indicates something is upright, proper, or precisely at a certain time or state.","Common in phrases like 正在 (zhengzai, in the process of), 正好 (zhenghao, just right), and 正确 (zhengque, correct)",adjective/adverb,正,慕,咝,剪,尽,A
152,rang4,让,86,"To let, allow, or permit someone to do something; also means to yield or give way to someone.",Commonly used in causative constructions like 让我看看 (let me see) or to express yielding as in 让座 (give up one's seat),verb,挪,哧,算,奈,让,E
153,hai3,海,85,"Sea or ocean; a large body of salt water. Can also refer to something vast or numerous, like a sea of people.","Common in words like 上海 (Shanghai), 海洋 (ocean), 大海 (the sea)",noun,圣,忡,海,妇,搅,C
154,chi1,吃,84,To eat or consume food. Can also mean to have a meal or to live off something.,"Used in everyday contexts like 吃饭 (eat rice/have a meal), 吃早饭 (eat breakfast)",verb,暖,吃,径,拙,薇,B
155,xin1,心,84,"Heart, both as the physical organ and as the center of emotions, thoughts, and intentions. Also means mind, feeling, or core/center of something.","Common in words like 小心 (be careful), 心情 (mood), 关心 (care about), and 中心 (center)",noun,心,植,拳,暖,孪,A
156,zhang4,杖,84,"A walking stick, cane, or staff used for support while walking or as a symbol of authority.",Commonly seen in words like 拐杖 (crutch/walking stick) and 手杖 (cane),noun,杖,汤,框,汪,漆,A
157,zhong3,种,84,"A measure word for types, kinds, or varieties of things; also means 'kind' or 'type' as a noun.","Used in phrases like 这种 (this kind), 各种 (various kinds), 一种方法 (one type of method)",measure word/noun,液,六,种,熄,烂,C
158,jing1,经,84,"To pass through, to experience, or to undergo something. Also used as a component in words related to classics, scriptures, or regular/constant things.","Common in words like 经过 (to pass through), 经验 (experience), 已经 (already), and 经常 (often)",verb/noun,盔,烘,模,经,科,D
159,se4,色,84,"Color or hue; can also refer to appearance, look, or expression on someone's face.","Common in words like 颜色 (color), 红色 (red), 脸色 (facial expression/complexion)",noun,请,茫,狡,粘,色,E
160,xing1,星,83,"Star, referring to celestial bodies in the sky or used in compound words related to stars and planets.","Common in words like 星期 (week), 明星 (celebrity/star), 火星 (Mars), and 星星 (stars)",noun,挣,星,胜,讨,瘸,B
161,ma3,马,83,Horse; a common domesticated animal used for riding and transportation.,"Used in compound words like 马上 (immediately, literally 'on horseback') and as a surname",noun,马,隆,盘,硕,蝙,A
162,cai2,才,81,Adverb indicating that something happened later than expected or only just now; also means 'only' to emphasize a small amount or degree.,Common in phrases like 我才到 (I just arrived) or 才三岁 (only three years old),adverb,才,距,竞,产,侧,A
163,jue2,觉,81,To feel or sense something; to become aware of a sensation or perception. Also means sleep when pronounced 'jiao4'.,"Common in words like 感觉 (gǎnjué - feeling), 觉得 (juéde - to think/feel), and 睡觉 (shuìjiào - to sleep)",verb,您,卷,编,觉,链,D
164,xian1,先,79,"First, before, or earlier in time or sequence; indicates doing something ahead of other actions or people.",Commonly used in phrases like 先生 (Mr./teacher) and 先...再... (first...then...),adverb,鸣,肤,焰,先,器,D
165,guang1,光,79,"Light or brightness; can also mean smooth, bare, or used up/empty when describing surfaces or quantities.","Common in words like 阳光 (sunlight), 光滑 (smooth), and 光盘 (empty plate/CD)",noun/adjective,光,膨,议,有,夏,A
166,geng4,更,79,Even more; still more. Used to indicate a higher degree or level when comparing things.,"Commonly used in comparisons like 更好 (even better), 更快 (even faster)",adverb,出,功,更,恨,虽,C
167,jin4,进,79,"To enter, go into, or move forward into a space or location. Also means to advance or make progress.","Common in words like 进来 (come in), 进去 (go in), and 进步 (progress)",verb,襟,折,巷,进,为,D
168,zai4,再,78,"Again, once more; indicates repetition of an action or additional occurrence. Also means 'then' or 'only then' when referring to future actions in sequence.","Used before verbs like 再见 (goodbye, literally 'see again') or 再说 (talk about it later)",adverb,面,救,灯,再,贝,D
169,xiao4,校,78,School; an educational institution where students learn. Also used as a short form for various types of schools and military ranks.,"Most commonly seen in words like 学校 (xuéxiào - school), 校长 (xiàozhǎng - principal), and 校园 (xiàoyuán - campus)",noun,迫,蹑,歌,校,音,D
170,shi1,师,77,"Teacher, master, or expert in a particular field; also refers to a skilled professional or mentor.","Common in words like 老师 (teacher), 师傅 (master/skilled worker), and 医师 (doctor)",noun,德,匙,师,玻,逗,C
